"Guid","AccessType"
179ee5b8-2976-4241-aa8e-2ac7d8301390,Give
30cdda1e-1272-4763-bc3b-b2acd88299b0,Give
4cc2c3e1-3e2e-457b-b43d-0258a732fd73,Give
5cf604db-6911-44fc-b9aa-9a6b03fd01c9,Give
7cf63ac9-de2f-489c-b590-e0779e857bb1,Give
83461211-ea4d-4a06-a20d-2c33db6359ef,Give
a5a6f2a3-7c13-42cd-a9bc-000abf1e857b,Give
b572474d-4219-4957-8335-e21d3e3a9843,Give
be219031-f53b-4ed2-afe2-59c0c0d71e03,Give
c7ec7fdc-40ce-40da-8603-89220d1c6e89,Give
d38d860b-9fdb-4143-b04a-259d28dda66b,Give
d7740586-b0c3-4bc2-b73b-49c455b00855,Give
